,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,0,AU,1575569963,24,-33.64,115.35,295.93,5.03
1,Butaritari,67,KI,1575569963,72,3.07,172.79,301.99,4.92
2,Parana,75,BR,1575569963,79,-7.52,-72.89,303.15,1.0
3,Bella Vista,0,AR,1575569926,39,-27.03,-65.31,300.15,3.1
4,Wanning,90,AT,1575569963,86,48.64,13.53,272.59,0.5
5,Guymon,1,US,1575569963,37,36.68,-101.48,288.15,2.1
6,East London,30,ZA,1575569801,72,-33.02,27.91,293.15,9.3
7,Port Hueneme,90,US,1575569963,63,34.15,-119.2,291.15,2.6
8,Hobart,90,AU,1575569934,57,-42.88,147.33,284.15,8.7
9,Nikolskoye,75,RU,1575569963,75,59.7,30.79,279.15,8.0
10,Ushuaia,75,AR,1575569963,87,-54.81,-68.31,282.15,15.9
11,Luancheng,94,CN,1575569964,85,37.88,114.65,273.15,2.0
12,Upernavik,4,GL,1575569964,73,72.79,-56.15,258.93,6.36
13,Westport,90,US,1575569833,45,41.14,-73.36,280.15,8.7
14,Shumskiy,0,RU,1575569964,93,54.83,99.13,261.45,2.98
15,Yerbogachen,27,RU,1575569964,96,61.28,108.01,247.21,1.07
16,Wenceslau Braz,100,BR,1575569964,99,-23.87,-49.8,295.93,1.79
17,Yellowknife,90,CA,1575569823,75,62.45,-114.38,247.59,1.5
18,Hualmay,51,PE,1575569964,52,-11.1,-77.61,298.78,4.35
19,Ilam,12,IR,1575569964,81,33.64,46.42,279.15,2.1
20,Waverley,20,AU,1575569964,88,-33.9,151.26,291.48,3.6
21,Cockburn Town,75,TC,1575569964,83,21.46,-71.14,299.15,4.1
22,Atuona,16,PF,1575569964,74,-9.8,-139.03,299.45,5.64
23,College,1,US,1575569738,74,64.86,-147.8,244.15,1.41
24,Chokurdakh,93,RU,1575569964,93,70.62,147.9,247.91,6.44
25,Cape Town,0,ZA,1575569179,21,-33.93,18.42,301.15,7.2
26,Constantine,40,DZ,1575569964,62,36.36,6.61,284.15,2.6
27,Bathsheba,40,BB,1575569964,58,13.22,-59.52,304.15,9.3
28,Rio Grande,0,BR,1575569888,30,-32.03,-52.1,301.15,6.2
29,Castro,40,CL,1575569964,63,-42.48,-73.76,290.15,4.6
30,Karratha,18,AU,1575569964,68,-20.74,116.85,301.29,3.85
31,Maamba,56,ZM,1575569964,49,-17.36,27.22,298.38,2.14
32,Pevek,0,RU,1575569964,84,69.7,170.27,254.96,1.13
33,Laguna,40,BZ,1575569965,83,16.17,-88.94,299.15,3.1
34,Port Hardy,75,CA,1575569869,68,50.7,-127.42,273.15,1.0
35,Bambous Virieux,40,MU,1575569965,83,-20.34,57.76,299.26,3.59
36,Tezu,0,IN,1575569965,32,27.93,96.16,286.91,1.51
37,La Peca,65,PE,1575569965,45,-5.61,-78.44,304.18,0.58
38,Bredasdorp,0,ZA,1575569965,68,-34.53,20.04,295.93,2.6
39,Warmbad,0,DE,1575569965,71,50.67,13.08,273.71,4.1
40,Faanui,89,PF,1575569965,72,-16.48,-151.75,300.78,1.76
41,Victoria,75,BN,1575569965,88,5.28,115.24,299.82,4.2
42,Mar del Plata,0,AR,1575569965,25,-46.43,-67.52,296.43,12.96
43,Albany,40,US,1575569798,51,42.65,-73.75,276.48,7.2
44,Hithadhoo,54,MV,1575569965,80,-0.6,73.08,301.53,4.83
45,Tuatapere,74,NZ,1575569965,77,-46.13,167.69,284.26,0.89
46,Uige,63,AO,1575569965,94,-7.61,15.06,293.58,0.15
47,Mataura,48,NZ,1575569966,77,-46.19,168.86,284.26,0.89
48,New Norfolk,90,AU,1575569966,57,-42.78,147.06,284.15,8.7
49,Saint-Philippe,90,CA,1575569966,80,45.36,-73.48,274.15,8.2
50,Alice Springs,11,AU,1575569966,13,-23.7,133.88,291.15,2.6
51,Saint George,75,GR,1575569966,81,39.45,22.34,282.15,2.1
52,Kieta,100,PG,1575569966,75,-6.22,155.63,299.53,1.66
53,Lebu,91,ET,1575569966,84,8.96,38.73,285.9,2.18
54,Carnarvon,84,ZA,1575569966,35,-30.97,22.13,295.03,6.12
55,Rikitea,0,PF,1575569966,84,-23.12,-134.97,298.38,3.33
56,Chernaya Kholunitsa,100,RU,1575569966,91,58.85,51.72,267.14,6.17
57,Sligo,90,IE,1575569966,100,54.27,-8.48,285.15,12.3
58,Hobyo,98,SO,1575569966,74,5.35,48.53,300.14,5.11
59,Bluff,0,AU,1575569966,77,-23.58,149.07,297.03,1.58
60,Puerto Rondon,0,CO,1575569966,63,6.28,-71.1,303.65,4.44
61,Corrales,49,CO,1575569966,70,5.83,-72.84,288.05,1.43
62,Bethel,90,US,1575569966,92,60.79,-161.76,264.15,6.2
63,Poum,2,MK,1575569966,83,41.28,20.71,273.15,1.0
64,Sibolga,13,ID,1575569966,95,1.74,98.78,294.52,1.5
65,Kodiak,1,US,1575569966,50,39.95,-94.76,288.15,1.5
66,Viedma,0,AR,1575569966,29,-40.81,-62.99,297.5,8.86
67,Barrow,16,AR,1575569967,18,-38.31,-60.23,300.27,2.3
68,Maceio,20,BR,1575569967,51,-9.67,-35.74,303.15,6.7
69,Port Blair,56,IN,1575569967,72,11.67,92.75,299.49,8.46
70,Tuktoyaktuk,90,CA,1575569967,77,69.44,-133.03,255.15,7.7
71,Panubigan,40,PH,1575569967,88,7.13,122.25,298.15,2.2
72,Thompson,75,CA,1575569712,76,55.74,-97.86,249.15,2.6
73,Ostrovnoy,100,RU,1575569967,94,68.05,39.51,267.15,6.49
74,Tiksi,100,RU,1575569967,100,71.64,128.87,245.97,1.67
75,Auray,100,FR,1575569967,93,47.67,-2.99,279.15,1.5
76,Puerto Ayora,20,EC,1575569967,54,-0.74,-90.35,302.15,3.6
77,Espinosa,8,BR,1575569967,67,-14.92,-42.81,300.24,2.61
78,Vaini,5,IN,1575569967,83,15.34,74.49,292.9,3.64
79,Port Alfred,0,ZA,1575569967,84,-33.59,26.89,293.15,3.58
80,Marzuq,33,YE,1575569967,34,14.4,46.47,288.53,1.06
81,Pandan,100,PH,1575569967,80,11.72,122.09,300.12,4.24
82,Punta Arenas,75,CL,1575569967,57,-53.16,-70.91,284.15,15.4
83,Kavaratti,61,IN,1575569967,75,10.57,72.64,301.34,3.5
84,Mount Gambier,90,AU,1575569967,76,-37.83,140.78,285.15,3.6
85,Vernon,90,CA,1575569967,92,50.27,-119.27,273.71,1.0
86,Namibe,75,AO,1575569967,73,-15.19,12.15,298.15,3.27
87,Faya,3,SA,1575569967,87,18.39,42.45,290.15,2.1
88,Arraial do Cabo,75,BR,1575569967,66,-22.97,-42.02,303.15,7.7
89,Manavalakurichi,75,IN,1575569968,94,8.13,77.3,299.15,13.77
90,Fartura,87,BR,1575569968,86,-23.39,-49.51,297.08,5.2
91,Satana,35,IN,1575569968,61,20.6,74.2,293.5,1.66
92,Hays,1,US,1575569968,50,38.88,-99.33,285.15,2.6
93,Yar-Sale,100,RU,1575569968,96,66.83,70.83,259.7,1.34
94,Elko,90,US,1575569968,86,40.83,-115.76,276.15,2.1
95,Hambantota,100,LK,1575569968,85,6.12,81.12,298.83,4.02
96,Komsomolskiy,91,RU,1575569968,96,67.55,63.78,256.49,1.61
97,Kadaya,99,RU,1575569968,95,50.93,119.29,246.54,1.8
98,Hermanus,0,ZA,1575569968,62,-34.42,19.24,295.93,0.45
99,Jamestown,17,AU,1575569774,83,-33.21,138.6,285.31,1.89
100,Mizdah,0,LY,1575569968,38,31.45,12.98,287.13,0.3
101,Puerto Escondido,20,MX,1575569755,66,15.86,-97.07,304.15,2.95
102,Talnakh,40,RU,1575569968,72,69.49,88.39,262.15,9.0
103,Pushkino,90,RU,1575569968,93,56.01,37.85,276.15,8.0
104,Namie,64,JP,1575569968,85,37.52,140.86,277.59,1.34
105,Novobirilyussy,9,RU,1575569969,81,56.95,90.69,265.2,3.75
106,Sosnovo-Ozerskoye,96,RU,1575569969,99,52.53,111.54,253.1,4.1
107,Isla Vista,90,US,1575569969,67,34.41,-119.86,290.15,4.1
108,Bam,0,IR,1575569969,35,29.11,58.36,286.62,1.4
109,Luga,100,RU,1575569969,85,58.74,29.85,277.34,5.64
110,Prince George,90,CA,1575569791,92,53.92,-122.75,265.15,3.1
111,Luderitz,67,NA,1575569969,68,-26.65,15.16,294.15,5.1
112,Soyo,75,AO,1575569969,94,-6.13,12.37,299.15,2.1
113,Ilorin,49,NG,1575569936,24,8.5,4.55,303.62,1.54
114,Lagoa,20,PT,1575569969,63,37.14,-8.45,289.15,2.1
115,Tasiilaq,75,GL,1575569969,58,65.61,-37.64,270.15,4.6
116,Norman Wells,75,CA,1575569969,73,65.28,-126.83,237.15,1.0
117,La Sarre,100,CA,1575569712,87,48.8,-79.2,266.58,4.73
118,Tecoanapa,20,MX,1575569969,70,16.99,-99.26,303.15,3.6
119,Hami,8,CN,1575569969,48,42.84,93.51,267.83,1.39
120,Teya,40,MX,1575569969,51,21.05,-89.07,301.15,2.06
121,Santa catarina de Tepehuanes,21,MX,1575569969,28,25.34,-105.72,292.24,0.49
122,Baykit,93,RU,1575569969,96,61.68,96.39,254.33,0.78
123,Provideniya,100,RU,1575569969,95,64.42,-173.23,262.0,7.23
124,Broome,100,GB,1575569969,87,52.47,1.45,281.15,7.7
125,Hofn,75,IS,1575569969,59,64.25,-15.21,274.15,6.7
126,Shizunai,16,JP,1575569969,69,42.33,142.37,266.29,1.45
127,Sao Joao da Barra,40,BR,1575569970,70,-21.64,-41.05,302.15,8.2
128,Kavieng,81,PG,1575569970,74,-2.57,150.8,301.41,0.75
129,Leningradskiy,100,RU,1575569970,87,69.38,178.42,264.49,7.13
130,Ukiah,90,US,1575569970,93,39.15,-123.21,286.48,1.5
131,Khatanga,0,RU,1575569970,86,71.98,102.47,238.74,4.72
132,Longyearbyen,75,NO,1575569970,74,78.22,15.63,272.15,20.1
133,Muborak,100,UZ,1575569970,54,39.25,65.15,285.06,4.52
134,Jaunpur,0,IN,1575569970,42,25.75,82.69,289.93,0.63
135,Cherskiy,1,RU,1575569970,64,68.75,161.3,254.94,4.4
136,Alushta,0,UA,1575569970,47,44.68,34.41,279.88,1.65
137,Karasjok,13,NO,1575569970,85,69.47,25.52,269.15,3.6
138,Dunedin,30,NZ,1575569970,71,-45.87,170.5,285.0,4.41
139,Camopi,46,GF,1575569970,82,3.17,-52.33,300.79,1.81
140,Buala,99,SB,1575569970,78,-8.15,159.59,299.56,1.21
141,Balakhta,14,RU,1575569970,89,55.38,91.62,261.19,1.06
142,Ishigaki,100,JP,1575569970,88,24.34,124.16,293.37,13.43
143,Lake Havasu City,1,US,1575569970,87,34.47,-114.34,288.15,1.5
144,Palmer,20,AU,1575569970,81,-34.85,139.16,286.48,3.6
145,Airai,77,TL,1575569970,61,-8.93,125.41,292.62,1.79
146,Verkhnevilyuysk,44,RU,1575569970,96,63.45,120.31,233.03,2.14
147,Aginskoye,0,RU,1575569970,81,51.11,114.54,259.63,7.59
148,Husavik,98,CA,1575569970,84,50.56,-96.99,267.59,4.92
149,Ilulissat,5,GL,1575569939,42,69.22,-51.1,260.15,5.7
150,Qaqortoq,20,GL,1575569970,31,60.72,-46.03,267.15,2.1
151,Puerto Baquerizo Moreno,40,EC,1575569970,74,-0.9,-89.6,299.15,7.2
152,Torbay,20,CA,1575569970,87,47.66,-52.73,284.15,11.3
153,Ribeira Grande,20,PT,1575569970,63,38.52,-28.7,292.15,1.0
154,Flin Flon,40,CA,1575569971,84,54.77,-101.88,254.15,3.1
155,Tigil,98,RU,1575569971,73,57.8,158.67,261.53,1.37
156,Pocos de Caldas,75,BR,1575569700,100,-21.79,-46.56,294.15,3.31
157,Hilo,90,US,1575569971,88,19.71,-155.08,294.15,1.5
158,Isangel,92,VU,1575569971,86,-19.55,169.27,298.39,3.75
159,Salina Cruz,46,MX,1575569971,68,16.18,-95.2,301.06,11.31
160,Marawi,100,PH,1575569971,93,8.0,124.29,297.59,2.24
161,Taunggyi,10,MM,1575569971,93,20.78,97.03,285.55,0.75
162,Sitka,0,US,1575569971,53,37.17,-99.65,285.37,0.84
163,Portsmouth,20,GB,1575569971,81,50.8,-1.08,284.15,4.6
164,Tshikapa,90,CD,1575569971,97,-6.42,20.79,294.42,0.85
165,Mogadishu,74,SO,1575569971,78,2.04,45.34,300.46,4.84
166,Kosamba,75,IN,1575569971,69,21.48,72.95,299.15,2.1
167,Portland,11,US,1575569919,56,43.66,-70.25,278.15,6.2
168,Santo Antonio do Ica,59,BR,1575569971,53,-3.1,-67.94,306.55,1.97
169,Port Lincoln,15,AU,1575569971,84,-34.72,135.86,286.91,3.73
170,Nantucket,1,US,1575569971,48,41.28,-70.1,280.15,6.2
171,San Juan,0,AR,1575569971,9,-31.54,-68.53,305.05,5.97
172,Shu,85,KZ,1575569971,49,43.6,73.76,277.35,3.06
173,San Cristobal,81,HN,1575569971,60,14.68,-86.92,297.68,2.41
174,Jinji,100,CN,1575569971,22,22.16,112.49,287.58,6.4
175,Fort Morgan,90,US,1575569971,74,40.25,-103.8,278.15,2.1
176,Ribas do Rio Pardo,25,BR,1575569971,72,-20.45,-53.76,301.9,6.88
177,Puksoozero,100,RU,1575569971,97,62.59,40.61,274.47,5.63
178,Waingapu,72,ID,1575569972,69,-9.65,120.26,302.78,3.17
179,Qaanaaq,99,GL,1575569972,59,77.48,-69.36,254.17,4.33
180,Sao Filipe,43,CV,1575569972,79,14.9,-24.5,293.66,8.41
181,Okha,100,RU,1575569972,91,53.59,142.95,264.05,9.84
182,Bobrovka,100,RU,1575569972,96,52.3,45.54,273.64,5.38
183,Kaka,100,TM,1575569972,80,37.35,59.62,281.12,3.7
184,Armidale,0,AU,1575569972,56,-30.51,151.67,280.37,1.82
185,Taltal,11,CL,1575569972,68,-25.41,-70.49,291.2,4.06
186,Tamasane,75,BW,1575569972,68,-22.42,27.4,293.15,5.1
187,Ballina,90,IE,1575569972,100,54.11,-9.15,285.15,12.3
188,Nazca,17,PE,1575569972,35,-14.83,-74.94,303.17,5.35
189,Lyngseidet,40,NO,1575569972,64,69.58,20.21,275.15,4.6
190,Tsumeb,75,NA,1575569972,82,-19.25,17.72,292.15,3.1
191,Dikson,100,RU,1575569972,97,73.51,80.55,251.66,3.48
192,Teeswater,100,CA,1575569972,72,44.0,-81.29,274.82,3.58
193,Saskylakh,43,RU,1575569973,99,71.97,114.09,235.16,1.19
194,Kapaa,40,US,1575569944,83,22.08,-159.32,297.15,6.7
195,Palm Springs,1,US,1575569973,63,33.82,-116.54,289.15,1.5
196,Pochutla,20,MX,1575569973,55,15.74,-96.47,304.82,4.1
197,Wattegama,100,LK,1575569973,97,7.35,80.68,295.05,0.97
198,Narsaq,20,GL,1575569973,31,60.91,-46.05,267.15,2.1
199,Sumenep,100,ID,1575569973,70,-7.02,113.87,301.69,1.44
200,Bilibino,31,RU,1575569973,88,68.06,166.44,248.96,4.0
201,Farias Brito,40,BR,1575569973,21,-6.93,-39.57,308.15,3.6
202,Avarua,2,CK,1575569757,78,-21.21,-159.78,299.15,3.1
203,Cabadiangan,75,PH,1575569973,83,10.45,123.98,299.15,0.5
204,Chuy,37,UY,1575569973,48,-33.69,-53.46,294.71,5.46
205,Formosa do Rio Preto,36,BR,1575569973,46,-11.04,-45.19,304.85,2.47
206,Sovetskiy,98,RU,1575569973,97,56.76,48.47,273.38,7.55
207,Prostejov,90,CZ,1575569973,86,49.47,17.11,272.15,3.6
208,Nara,75,JP,1575569973,49,34.68,135.8,282.15,10.3
209,Katsuura,75,JP,1575569973,49,33.93,134.5,281.15,7.2
210,Katete,29,UG,1575569973,96,-0.78,29.75,287.99,0.88
211,Port Elizabeth,90,US,1575569973,38,39.31,-74.98,280.37,7.7
212,Turukhansk,100,RU,1575569973,93,65.8,87.96,262.78,6.92
213,Kruisfontein,0,ZA,1575569974,70,-34.0,24.73,290.66,5.58
214,Gat,85,SN,1575569974,27,14.69,-16.54,304.15,2.1
215,Nuuk,20,GL,1575569974,78,64.17,-51.74,261.15,5.1
216,Green River,90,US,1575569974,100,41.53,-109.47,273.71,2.1
217,Kaeo,0,NZ,1575569974,100,-35.1,173.78,288.15,0.97
218,Turayf,0,SA,1575569974,66,31.68,38.65,285.15,2.6
219,Yumen,40,CN,1575569974,47,40.29,97.04,266.47,3.86
220,Parsons,40,US,1575569974,42,37.34,-95.26,291.15,3.1
221,Najran,0,SA,1575569974,45,17.54,44.22,291.15,2.1
222,Singida,100,TZ,1575569974,76,-4.82,34.75,293.86,1.03
223,Codrington,0,AU,1575569974,76,-28.95,153.24,292.04,3.1
224,Madisonville,1,US,1575569727,43,37.33,-87.5,287.15,2.6
225,Tommot,100,RU,1575569974,95,58.97,126.27,254.27,3.92
226,Rauma,40,FI,1575569974,75,61.13,21.5,279.15,6.7
227,Abashiri,100,JP,1575569974,66,44.01,144.25,271.43,6.31
228,Sinazongwe,71,ZM,1575569974,56,-17.26,27.46,301.97,3.44
229,Petropavlovsk-Kamchatskiy,91,RU,1575569975,85,53.05,158.65,262.15,3.0
230,Bom Jesus da Lapa,5,BR,1575569975,28,-13.25,-43.41,309.15,3.1
231,Tabora,40,TZ,1575569975,88,-5.02,32.81,295.15,2.6
232,Inirida,100,CO,1575569975,95,3.87,-67.92,299.39,0.98
233,Humaita,40,AR,1575569975,47,-24.93,-65.37,298.15,4.1
234,West Plains,90,US,1575569975,38,36.73,-91.85,289.15,3.6
235,Silvan,90,TR,1575569975,93,38.14,41.01,281.15,3.6
236,Georgetown,40,GY,1575569817,70,6.8,-58.16,304.15,5.1
237,Puerto Cabezas,40,NI,1575569762,55,14.04,-83.39,303.15,7.2
238,Yayva,99,RU,1575569975,80,59.33,57.26,260.93,0.89
239,Satellite Beach,1,US,1575569975,45,28.18,-80.59,294.82,3.6
240,Lodhran,0,PK,1575569975,25,29.54,71.63,289.79,1.8
241,Geraldton,75,CA,1575569975,85,49.72,-86.95,264.15,1.19
242,Prince Rupert,75,CA,1575569975,93,54.32,-130.32,275.15,3.1
243,Rio Branco,75,BR,1575569976,66,-9.98,-67.82,304.15,2.1
244,Bermeo,40,ES,1575569976,93,43.42,-2.72,285.37,2.1
245,Daru,88,PG,1575569976,93,-9.07,143.21,297.76,1.56
246,Den Helder,90,NL,1575569976,93,52.96,4.76,282.15,9.8
247,Ihlow,0,DE,1575569976,86,52.62,14.07,275.93,4.6
248,Ingham,92,AU,1575569868,93,-18.65,146.16,296.61,0.54
249,Tautira,90,PF,1575569976,69,-17.73,-149.15,301.15,2.1
250,Malanje,92,AO,1575569976,95,-9.54,16.35,293.16,1.64
251,Shimoda,100,JP,1575569976,76,34.7,138.93,280.93,15.56
252,Galveston,40,US,1575569903,65,40.58,-86.19,280.37,3.1
253,Thurso,90,CA,1575569976,63,45.6,-75.25,270.37,4.6
254,Talcahuano,0,CL,1575569976,59,-36.72,-73.12,292.15,10.3
255,Murray Bridge,15,AU,1575569976,83,-35.12,139.28,285.93,0.45
256,Los Llanos de Aridane,40,ES,1575569976,52,28.66,-17.92,292.59,8.2
257,Ushtobe,100,KZ,1575569976,39,45.25,77.98,277.55,2.32
258,Alofi,59,NU,1575569878,94,-19.06,-169.92,297.15,1.0
259,Lompoc,90,US,1575569692,93,34.64,-120.46,290.15,4.6
260,Moose Factory,90,CA,1575569976,85,51.26,-80.61,268.15,7.2
261,Diban,100,SY,1575569976,62,35.02,40.51,286.79,5.68
262,Mahajanga,20,MG,1575569976,79,-15.72,46.32,302.15,5.1
263,Shingu,99,JP,1575569976,65,33.72,135.99,282.3,7.27
264,Tucurui,71,BR,1575569976,63,-3.77,-49.67,304.23,0.9
265,Conde,67,BR,1575569976,76,-11.81,-37.61,299.98,4.93
266,Mocuba,30,MZ,1575569976,91,-16.84,36.99,296.33,2.43
267,Panguna,98,PG,1575569977,96,-6.32,155.48,293.89,0.82
